pregunta;respuesta;correcta
1;Universidad de Columbia;false
1;Historiadores Americanos;true
1;Instituto tecnológico de Massachusetts;false
1;Real Academia Española;false
2;1894;false
2;1994;false
2;1874;true
2;1934;false
3;Doctora nativo americana;true
3;Graduada en medicina;false
3;Realizó pequeños prestamos a nativo americanos;false
3;Primera nativa presidenta de la Sociedad Antropológica de Washington;false
4;España;false
4;Venezula;false
4;Argentina;false
4;México;true
5;Nobel de la paz;true
5;Nobel de quimica;false
5;Premio Fundación MAPFRE;false
5;No gano ningun premio;false
6;Cubos de basura;false
6;Colchas;true
6;Ropa;false
6;Xilófonos;false
7;30 años;true
7;20 años;false
7;10 años;false
7;1 año;false
8;Filipinas;false
8;España;true
8;Colombia;false
8;Panamá;false
9;La cope;false
9;Servicios de ayuda telefónica;false
9;Partido póltico;false
9;Programa radiofónico;true
10;El trabajo Realizado por un Sociologo;true
10;Petición para un articulo de una revista;false
10;Para ampliar su propio conocimiento;false
10;Para finalizar sus estudios académicos;false
11;Historiadores Americanos;true
11;Real Academia Española;false
11;NGDO;false
11;Greenpeace;false
12;Inteligencia Atificial;false
12;Ciencias Sociales;true
12;Analisis  de estudios sociologicos;false
12;Hospital psiquiatrico;false
13;La importancia del sexo en la pareja;false
13;Psicolgía infantil;false
13;La gravedad de las depresiones y ansiedad;false
13;Las diferencias económicas entre los distintas clases sociales;false
14;Historia monetaria del país;true
14;Comportamiento de los paises durante deflaciones;false
14;La política monetara;false
14;Ciclos económicos;false
15;Libreación de la raza negra;true
15;Acceso igualitario a la universidad;false
15;Mejoras laborales en las fábricas;false
15;Grupo proanimal de Whasington;false
16;Reino unido;false
16;Estados Unidos;true
16;Suecia;false
16;Noruega;false
17;Astrología;false
17;Historia y arquitectura Coreana;false
17;Historia y arquitectura China;true
17;Historia y arquitectura Japonesa;false
18;1934;true
18;1930;false
18;1830;false
18;1869;false
19;Italia;false
19;Grecia;true
19;Austria;false
19;Turquía;false
20;Investigacion de la FED;false
20;Investigacion del BCE;false
20;Investigacion del Banco Mundial;true
20;La NGDO ;false
